Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-02-01,29.46,30.24,29.1,30.11,13830770.0,0.0,1.0,27.801546804050425,28.537636637966216,27.461813034550826,28.414954998980253,13830770.0
2016-02-02,29.99,30.19,28.87,29.65,23773472.0,0.0,1.0,28.301710409147052,28.490451392202388,27.244760904037193,27.980850737952988,23773472.0
2016-02-03,30.1,30.25,28.18,28.92,29059303.0,0.0,1.0,28.405517949827487,28.547073687118985,26.5936045124963,27.291946149801028,29059303.0
2016-02-04,28.94,29.21,28.1,28.64,20999876.0,0.0,1.0,27.310820248106563,27.565620575231257,26.518108119274167,27.027708773523564,20999876.0
2016-02-05,28.67,29.2,28.415,28.54,14123557.0,0.0,1.0,27.056019920981864,27.55618352607849,26.81537516758631,26.933338281995894,14123557.0
2016-02-08,28.28,28.839,28.05,28.68,19169858.0,0.0,1.0,26.687975004023965,27.215506051663617,26.470922873510332,27.065456970134626,19169858.0
2016-02-09,28.13,28.87,27.77,27.87,21648517.0,0.0,1.0,26.546419266732464,27.244760904037193,26.206685497232865,26.301055988760535,21648517.0
2016-02-10,28.12,28.64,27.69,27.71,15158321.0,0.0,1.0,26.5369822175797,27.027708773523564,26.131189104010737,26.150063202316268,15158321.0
2016-02-11,27.48,28.09,26.69,26.9,25161884.0,0.0,1.0,25.933011071802635,26.508671070121398,25.187484188734075,25.38566222094217,25161884.0
2016-02-12,27.23,27.74,27.05,27.71,11040924.0,0.0,1.0,25.69708484298347,26.178374349774565,25.52721795823367,26.150063202316268,11040924.0
2016-02-16,28.0,28.59,27.76,28.58,14619835.0,0.0,1.0,26.423737627746497,26.98052352775973,26.197248448080103,26.97108647860696,14619835.0
2016-02-17,28.86,29.35,28.7,29.27,13253505.0,0.0,1.0,27.235323854884427,27.697739263369993,27.08433106844016,27.622242870147858,13253505.0
2016-02-18,29.45,29.546,28.915,29.03,12157435.0,0.0,1.0,27.792109754897655,27.882705426764215,27.28722762522464,27.39575369048146,12157435.0
2016-02-19,28.88,28.98,28.38,28.78,12360841.0,0.0,1.0,27.25419795318996,27.34856844471763,26.782345495551628,27.159827461662296,12360841.0
2016-02-22,29.18,29.64,29.03,29.63,12206300.0,0.0,1.0,27.537309427772957,27.971413688800222,27.39575369048146,27.961976639647453,12206300.0
2016-02-23,29.41,29.82,29.28,29.38,9948121.0,0.0,1.0,27.75436155828659,28.14128057355002,27.631679919300627,27.72605041082829,9948121.0
2016-02-24,28.72,28.9,27.81,28.84,20986394.0,0.0,1.0,27.103205166745692,27.273072051495493,26.24443369384393,27.216449756578893,20986394.0
2016-02-25,28.83,29.51,28.55,29.5,11903268.0,0.0,1.0,27.207012707426127,27.84873204981426,26.942775331148663,27.83929500066149,11903268.0
2016-02-26,29.73,29.96,29.535,29.63,15777809.0,0.0,1.0,28.056347131175123,28.273399261688756,27.872324672696173,27.961976639647453,15777809.0
2016-02-29,29.37,29.8,29.29,29.44,10321926.0,0.0,1.0,27.716613361675524,28.12240647524449,27.64111696845339,27.78267270574489,10321926.0
2016-03-01,30.02,30.23,28.92,30.01,21005860.0,0.0,1.0,28.330021556605352,28.528199588813454,27.291946149801028,28.320584507452587,21005860.0
2016-03-02,30.0,30.32,29.84,30.15,12094359.0,0.0,1.0,28.31114745829982,28.61313303118835,28.160154671855555,28.45270319559132,12094359.0
2016-03-03,30.26,31.22,30.2,31.07,18340504.0,0.0,1.0,28.556510736271754,29.462467454937347,28.49988844135515,29.320911717645846,18340504.0
2016-03-04,31.22,31.74,31.06,31.37,13962678.0,0.0,1.0,29.462467454937347,29.95319401088121,29.31147466849308,29.604023192228848,13962678.0
2016-03-07,31.31,31.78,31.19,31.59,11373180.0,0.0,1.0,29.547400897312244,29.990942207492278,29.434156307479046,29.81163827358971,11373180.0
2016-03-08,31.4,31.4001,30.46,30.68,16765888.0,0.0,1.0,29.632334339687144,29.632428710178672,28.745251719327086,28.95286680068795,16765888.0
2016-03-09,30.47,30.63,30.2,30.54,12158796.0,0.38,1.0,29.112474679809985,29.265346223911383,28.854503949138877,29.179355980354348,12158796.0
2016-03-10,30.72,30.88,30.27,30.82,15092689.0,0.0,1.0,29.351336467468418,29.50420801156982,28.921385249683237,29.446881182531794,15092689.0
2016-03-11,31.05,31.33,30.98,31.26,13362519.0,0.0,1.0,29.666634027177555,29.934159229355,29.59975272663319,29.86727792881064,13362519.0
2016-03-14,31.18,31.39,30.9,31.18,9353041.0,0.0,1.0,29.79084215675994,29.991486058393026,29.52331695458249,29.79084215675994,9353041.0
2016-03-15,30.86,31.08,30.44,31.05,8983477.0,0.0,1.0,29.485099068557144,29.695297441696564,29.083811265290976,29.666634027177555,8983477.0
2016-03-16,30.83,31.76,30.83,31.69,9991902.0,0.0,1.0,29.45643565403813,30.34500150412751,29.45643565403813,30.278120203583146,9991902.0
