Date,stock_ret,bench_ret,const
2016-01-04,,,1
2016-01-05,-0.02505932605606514,0.002012226074739071,1
2016-01-06,-0.019569662155551844,-0.013115396617014987,1
2016-01-07,-0.04220456802383951,-0.023700443039098285,1
2016-01-08,0.005287713841368933,-0.01083837463447639,1
2016-01-11,0.016192244224429393,0.0008532723085775346,1
2016-01-12,0.014513346188975243,0.007802798638371756,1
2016-01-13,-0.025710284113650183,-0.024965452602732516,1
2016-01-14,0.021870828627173395,0.016695905641396367,1
2016-01-15,-0.024015273311896797,-0.021599098121784087,1
2016-01-19,-0.00483887573355815,0.0005318215544080819,1
2016-01-20,0.001344920339341996,-0.01169385515275344,1
2016-01-21,-0.0050625064572864895,0.005195438264643329,1
2016-01-22,0.05316718587747321,0.020283700930896906,1
2016-01-25,-0.019522776572671145,-0.015637981868314242,1
2016-01-26,0.005530973451323161,0.014144335682203713,1
2016-01-27,-0.06570657065706244,-0.010863483946818714,1
2016-01-28,0.0071719117961919375,0.005528577110863419,1
2016-01-29,0.034541396535230376,0.024760217481832835,1
2016-02-01,-0.009348674748300182,-0.0004432364060282173,1
2016-02-02,-0.020221922638192592,-0.01874309104264482,1
2016-02-03,0.019792548687561536,0.004992038935398218,1
2016-02-04,0.007991696938242185,0.0015267326294096282,1
2016-02-05,-0.02670807453416155,-0.018481246133065947,1
2016-02-08,0.010529674537332445,-0.014153935962584503,1
2016-02-09,-0.0002105041574571244,-0.0006636201005447463,1
2016-02-10,-0.007579745236340586,-0.00018895050095239695,1
2016-02-11,-0.00604646228916952,-0.012301161634528346,1
2016-02-12,0.003094983991462174,0.01951804943402934,1
2016-02-16,0.0281944887754016,0.016516654254666408,1
2016-02-17,0.015314569536423859,0.0164804390873187,1
2016-02-18,-0.018956379942927166,-0.004665713586089409,1
2016-02-19,-0.0022854768335755916,-2.603306922159567e-05,1
2016-02-22,0.0087463556851312,0.014454197343192787,1
2016-02-23,-0.02260528488852196,-0.012454371626831185,1
2016-02-24,0.014890695955222424,0.00443978665736949,1
2016-02-25,0.006867845993756379,0.011348275180813881,1
2016-02-26,0.001550227366680405,-0.0018701143063153721,1
2016-02-29,-0.0022701475595912333,-0.008120976670040306,1
2016-03-01,0.03971455165994407,0.023868792264573044,1
2016-03-02,0.0021884014721973623,0.004094308437972685,1
2016-03-03,0.007444168734491403,0.0034987405529653573,1
2016-03-04,0.014876847290610277,0.0033058924052666735,1
2016-03-07,-0.011066886710008647,0.0008850144294974127,1
2016-03-08,-0.008245803475007345,-0.01124010864818905,1
2016-03-09,0.0008908245075719273,0.005052393293188397,1
2016-03-10,0.0004944620253164901,0.00015580467030042977,1
2016-03-11,0.010773944845329888,0.016395500477669567,1
2016-03-14,0.0025425386270490325,-0.0012609725467921024,1
2016-03-15,0.020093640265233997,-0.0018369417185468179,1
2016-03-16,0.013291260279241688,0.005600351548705102,1
2016-03-17,-0.0016042276115785035,0.006595236427847926,1
2016-03-18,0.0011342155009834653,0.004405643539266504,1
2016-03-21,-9.441087619999243e-05,0.0009855774954502321,1
2016-03-22,0.0076480030215007,-0.0008773878504659462,1
2016-03-23,-0.0055284857571497505,-0.006386031655324604,1
2016-03-24,-0.004334306982022235,-0.00037807052292406954,1
2016-03-28,-0.004542443456004228,0.0005452557698998719,1
2016-03-29,0.02367145165883473,0.008816651809226127,1
2016-03-30,0.01745913818727864,0.004350315062455628,1
2016-03-31,-0.005202628696595115,-0.0020397592480187136,1
2016-04-01,0.009175153683823923,0.006330915097686664,1
2016-04-04,0.010273661241939914,-0.0032083221118300365,1
2016-04-05,-0.011789056875513364,-0.01014449245057428,1
2016-04-06,0.010472634550633884,0.010507619189438844,1
2016-04-07,-0.021809661139185487,-0.011975786560861146,1
2016-04-08,0.001105583195172907,0.0027865782063149413,1
2016-04-11,0.0033130866924537547,-0.002739786123146736,1
2016-04-12,0.013025133003062303,0.009662134044055809,1
2016-04-13,0.014487504527345391,0.010040137017230288,1
2016-04-14,0.0005355230275083973,0.00017292717774910476,1
2016-04-15,-0.020071364852764763,-0.0009842849323767663,1
2016-04-18,-0.021574874829394946,0.0065410255683439784,1
2016-04-19,-0.005303312244129208,0.0030844851975158397,1
2016-04-20,0.002057805630942646,0.0007615446318947447,1
2016-04-21,-0.010827966022608354,-0.00519402706859527,1
2016-04-22,-0.002736623572737947,4.7859889148873896e-05,1
2016-04-25,-0.0056775170325513,-0.001812045849864888,1
2016-04-26,-0.006947087932916798,0.0018727515348587582,1
2016-04-27,-0.06257786296123388,0.0016493527182762052,1
2016-04-28,-0.03056634635043964,-0.009230768157227636,1
2016-04-29,-0.011494252873563105,-0.005063088481738572,1
2016-05-02,-0.0010667804565821096,0.007809946553678731,1
2016-05-03,0.016445963263562645,-0.008676638460102444,1
2016-05-04,-0.010401344820340372,-0.005936889314753994,1
2016-05-05,-0.004034398556109964,-0.00023900794299546254,1
2016-05-06,-0.0055770055770085055,0.0031746391945076426,1
2016-05-09,0.0007549611734285063,0.0007534966412709886,1
2016-05-10,0.006789524733263947,0.012483643839788859,1
2016-05-11,-0.009740954827657087,-0.009561518249023676,1
2016-05-12,-0.023456923575828043,-0.00016946514178486907,1
2016-05-13,0.0019924728802257464,-0.008478288992748932,1
2016-05-16,0.037118868758293566,0.009796652584981903,1
2016-05-17,-0.004154239454627727,-0.009411297372666149,1
2016-05-18,0.011445074339499445,0.00020517875938566796,1
2016-05-19,-0.003807106598976197,-0.003706707745767773,1
2016-05-20,0.010828025477707252,0.0060195039142562695,1
2016-05-23,0.012707414408730919,-0.002085458826200989,1
